I1,I2,I3,R1,R2,R3
27,34,38,33,61,19
530,577,606,453,661,179
18,13,22,31,53,12
0,0,0,0,1,0
8,6,7,10,9,11
812,1045,1232,363,662,131
3311,3493,3666,3068,3696,1164
226,163,173,184,246,99
3936,4354,4424,4161,5324,1710
609,658,622,611,748,220
11,10,15,9,21,3
1,0,0,2,0,0
4,19,16,21,29,11
373,350,285,323,292,124
3,2,1,0,0,1
302,432,459,471,698,179
14774,15883,14940,10901,13958,4797
9,9,10,8,13,3
0,0,0,0,0,0
22,29,40,19,47,16
12,19,17,12,29,9
329,417,402,319,459,105
3,10,5,13,29,7
66,94,121,39,56,19
0,0,0,0,0,0
0,0,0,0,0,0
9,17,12,8,11,4
671,691,875,594,770,248
49,56,84,88,162,27
2,3,5,4,2,0
3,2,5,4,8,4
69,82,91,61,103,24
3772,3890,4261,3484,4307,1438
140,160,151,147,167,35
3,1,6,2,3,0
9,9,22,35,36,24
37,78,62,74,121,35
0,0,0,0,0,0
846,820,899,714,847,311
96,105,99,113,144,37
5580,6915,7117,5040,7067,2300
68,89,73,52,107,5
993,1094,1402,874,1161,407
16,20,26,23,28,6
2212,3083,3443,2195,3073,838
119,217,183,1073,1202,452
0,0,0,0,1,0
1,3,5,1,7,1
196,213,234,181,224,60
3,3,3,6,9,0
44,42,47,41,54,19
1160,1188,1000,505,594,217
21,33,23,39,61,17
19,12,17,24,22,9
6989,8285,8293,6268,8334,2703
0,0,0,0,0,0
8,7,6,7,7,3
67,89,88,135,187,46
115,112,155,97,169,48
43,44,44,42,41,16
504,583,618,659,950,339
19,14,29,18,15,4
12,12,11,10,17,5
5,4,3,6,3,2
20990,25111,22979,19335,26684,7518
0,0,0,0,0,0
92,113,126,88,125,32
0,0,0,0,0,0
55,57,85,50,92,18
0,0,0,0,0,0
20,21,18,14,16,6
27,42,43,34,78,20
25,39,38,46,50,9
0,0,0,0,0,0
1853,1220,4590,1435,1388,786
43,54,65,45,79,38
6272,6713,7033,6551,8330,2649
276,274,293,199,255,95
38,35,48,26,20,10
0,0,0,0,0,0
101,116,132,122,130,42
132,138,84,122,97,48
109,111,169,144,239,71
32,48,54,50,79,19
1179,1500,1498,1359,1843,654
64,79,100,75,110,24
76,85,68,66,81,25
5742,6039,6408,5230,6882,2330
20,9,17,17,26,5
778,757,834,643,827,247
12,17,21,24,36,5
14,15,14,17,21,6
38,41,28,36,19,11
4,0,4,1,2,0
105,137,160,141,168,49
12,19,14,18,45,10
123,161,190,233,332,91
5,3,8,6,3,2
1,2,1,0,0,1
11,12,7,5,7,1
344,342,337,363,406,147
970,1030,1066,918,1067,419
20,23,27,29,34,8
252,254,236,192,210,124
28,32,24,9,12,1
374,445,520,342,518,153
2,1,1,1,1,1
848,1014,1142,890,1183,396
1731,1694,2199,1635,2141,637
70,54,87,47,108,28
11,7,7,12,30,8
1,2,6,5,4,1
48,38,59,108,90,47
41,36,64,48,70,10
1,1,4,6,4,1
5,12,14,5,25,4
858,841,994,742,993,296
0,0,1,0,0,0
1428,1379,1651,1264,1479,521
0,1,0,0,2,0
47,43,36,39,44,15
1279,1177,1337,1121,1438,484
5,4,6,8,6,4
0,0,0,0,0,0
2,1,10,1,12,1
848,901,959,796,989,377
94,95,110,124,99,43
7,14,13,28,22,22
255,323,339,412,524,117
25,28,29,44,52,17
0,2,1,3,0,0
219,327,466,200,549,100
30,36,43,46,64,24
127,166,156,4,16,1
67,97,98,55,59,18
1809,1662,1814,1740,2016,786
70,72,85,23,57,20
0,0,0,1,0,0
923,1064,1084,2033,2305,773
928,1039,908,751,1113,393
4,1,2,0,6,1
1625,1786,2062,1615,2043,654
12,12,29,6,16,7
32,31,43,106,106,52
22,38,36,27,39,14
4,10,5,17,25,5
1,1,0,1,0,0
0,0,1,0,5,0
249,256,294,370,535,147
6299,6761,7283,6817,8512,2660
21,32,38,22,34,5
6680,7036,7128,5894,7348,2583
5,3,2,1,7,0
8,9,20,9,11,0
2,1,3,0,0,1
208,276,241,230,282,82
24,40,44,56,50,15
3,0,1,3,4,3
6,4,14,5,4,1
30,38,31,20,18,18
746,886,1037,1158,1525,554
11,15,26,36,38,7
211,273,287,301,440,99
45,69,92,131,172,60
13,16,11,14,25,7
212,222,248,449,488,152
5,4,6,1,13,1
1,0,3,1,2,0
5,10,7,21,11,4
14,7,10,13,12,6
63,96,111,251,292,81
259,279,344,332,463,139
297,349,369,377,413,133
33,34,49,53,78,27
5954,5350,4890,5916,6237,2431
31,53,62,56,61,27
272,328,545,161,151,56
39,36,55,23,55,12
59,90,131,27,45,7
27,34,33,24,39,5
95,103,134,130,151,43
4,5,14,9,19,1
0,0,1,0,0,0
4,9,11,5,19,2
199,235,271,165,254,78
154613,162521,157711,129007,158517,56830
468,463,507,798,1005,322
3,4,3,3,4,0
13,10,14,8,17,1
3,0,0,4,0,1
2,0,2,2,4,0
641,812,788,716,936,278
47,29,53,41,75,21
1239,1485,1422,1261,1667,437
228,274,301,228,347,107
2055,2327,2425,466,817,154
6,3,4,5,9,3
6,6,8,2,5,2
1,0,2,0,1,4
63,88,120,85,103,31
736,822,1043,950,1327,380
15,18,17,13,29,6
170,221,241,177,251,71
4,10,10,6,7,2
111,118,127,111,170,67
524,646,719,526,685,226
135,214,283,213,346,72
91,80,76,70,73,29
4,13,9,12,11,2
1113,1444,1623,83,153,34
213,337,415,284,378,112
1,0,0,0,0,0
15,18,25,18,18,4
0,1,3,1,2,0
213,205,224,167,239,62
111,105,127,168,224,83
279,310,323,284,366,139
2,1,2,1,1,0
232,240,303,303,305,108
56,73,55,55,61,22
163,198,268,158,304,66
680,874,830,325,403,121
13,14,23,66,78,36
22,35,13,25,27,18
4085,3917,3262,3912,4185,1728
115,116,91,262,319,92
34,31,46,35,64,9
253,240,281,249,350,105
7,6,4,10,9,0
47755,49073,48049,38239,45426,17018
14,1,6,6,3,3
63,51,59,75,60,18
253,292,410,1114,1250,493
113,124,146,127,154,52
292,236,328,232,350,98
15,24,22,15,41,10
4,5,5,5,2,2
375,497,507,267,408,125
32,20,23,32,43,11
61,69,100,100,103,33
34,43,36,88,109,47
532,529,564,527,636,197
43,47,34,32,39,21
17,20,20,24,36,10
12,10,17,11,16,5
13,12,22,14,31,3
104,118,117,113,147,36
1833,1795,1989,1621,1979,606
40,51,50,40,54,20
0,0,1,1,0,0
8,7,11,16,20,10
18707,19746,20493,15121,17556,6397
180,166,183,256,309,101
4,8,12,10,15,4
2691,3358,3132,2700,3159,1005
17,11,21,14,15,11
100,96,100,150,196,79
728,786,764,694,827,269
2,1,0,1,1,1
47,57,69,45,83,31
1757,1775,1964,1586,1913,703
0,1,0,1,2,0
373,382,461,333,495,189
128,72,94,101,126,44
0,0,0,0,0,0
10,26,26,17,41,5
243,280,356,303,343,120
20,22,19,15,22,9
1524,1561,942,1298,1302,509
15,22,39,15,21,6
6860,6862,5812,7101,7922,2975
1410,1622,1978,1745,2330,795
14,12,9,20,12,7
736,708,806,615,870,266
0,0,0,0,0,0
196,228,293,364,455,118
175,185,215,197,280,76
297,389,411,447,572,156
213,243,192,179,240,68
5,8,7,4,9,3
23,28,38,53,47,18
1146,1210,1258,1067,1244,441
195,235,305,133,199,78
339,438,476,308,452,128
11,20,23,10,14,2
28,13,26,16,23,11
346,646,839,503,942,208
0,0,0,1,4,1
166,158,188,168,170,56
0,0,0,0,1,0
0,2,2,3,2,3
4,5,6,3,8,0
7,2,5,4,8,1
114,123,171,107,152,51
108,99,75,103,109,34
1789,2347,2449,1980,3485,751
5,12,11,8,12,3
27,33,27,33,33,10
23,33,21,21,35,18
12,24,29,36,43,14
2110,2222,2441,2130,2879,887
179,208,190,137,114,69
